account_id,customer_id,product_id,open_date,close_date,avg_daily_balance
1,7743,3,2023-04-24,,12321.51
2,2390,3,2022-06-13,2024-05-27,17365.19
3,1613,6,2021-08-05,,2375.4
4,7633,1,2023-01-26,,2999.58
5,3465,5,2024-05-30,,7313.6
6,6981,6,2022-03-23,,11325.3
7,8763,6,2025-09-04,,11223.27
8,9367,6,2021-07-30,,6917.19
9,5740,3,2025-11-26,,4311.02
10,5227,4,2025-07-26,,9280.38
11,5259,4,2023-05-26,,1324.44
12,280,5,2024-05-08,,69428.96
13,6216,6,2023-09-29,,6947.57
14,2671,1,2023-08-06,,3671.84
15,5858,4,2025-06-29,,3951.28
16,2154,2,2024-12-08,,2642.48
17,7669,4,2025-12-03,,22935.02
18,6303,1,2025-05-11,,13586.43
19,5270,6,2021-11-21,,7178.3
20,4110,4,2024-02-19,2024-06-17,7017.8
21,2053,6,2023-07-21,,5436.96
22,3067,3,2022-02-20,,1069.2
23,9050,1,2022-08-29,,17699.56
24,7247,3,2023-03-15,,8149.62
25,7773,3,2025-11-23,,14741.5
26,5887,5,2021-07-04,,20070.77
27,8969,6,2022-09-14,,23147.54
28,7546,6,2025-02-13,2026-10-24,9433.22
29,3449,6,2021-08-08,,9320.35
30,7314,6,2021-12-26,,24817.67
31,7823,1,2024-06-26,,7303.72
32,1556,3,2025-06-04,,30256.65
33,5690,5,2025-01-26,2025-09-28,24017.94
34,3368,5,2025-11-11,,4755.37
35,578,3,2025-03-10,,4091.93
36,5517,3,2022-07-28,,2657.33
37,2523,2,2022-04-04,,19786.51
38,5694,1,2025-09-18,,555.34
39,46,5,2025-07-25,,566.53
40,5725,1,2025-10-27,,11802.24
41,981,6,2022-11-24,,1800.64
42,5548,5,2023-09-28,,2834.89
43,3295,4,2023-12-28,,9705.92
44,5989,4,2025-01-04,,1779.23
45,2115,5,2025-01-18,,2114.73
46,8818,2,2021-03-08,,39478.17
47,3555,4,2021-12-03,,12019.97
48,7730,6,2021-07-17,,20594.18
49,258,6,2023-11-27,,4469.41
50,4044,1,2023-02-13,,45264.86
51,6952,3,2023-09-10,,372.95
52,253,1,2025-02-01,,1617.6
53,5701,6,2022-11-10,,1445.16
54,9405,1,2022-07-30,,3236.75
55,6297,6,2022-02-08,,26324.24
56,2125,1,2023-11-12,,57681.88
57,6847,6,2023-12-31,,9337.79
58,8917,5,2024-12-09,,14178.3
59,4664,5,2022-12-07,,727.73
60,5875,1,2023-10-22,,13498.43
61,9370,3,2026-01-07,,4170.96
62,2203,2,2024-12-27,,2744.08
63,2842,6,2024-05-18,,5270.82
64,271,2,2024-09-21,,6826.01
65,8754,4,2021-05-07,,29338.59
66,5510,4,2021-09-20,,1659.45
67,3140,3,2024-10-18,,2872.37
68,1694,1,2022-02-08,,27032.0
69,9037,6,2025-03-14,,2323.09
70,3624,5,2021-02-11,,1243.47
71,4995,4,2021-03-03,,85350.31
72,7081,1,2024-05-17,,2631.03
73,9295,2,2021-05-06,,6860.94
74,751,3,2023-04-30,,6483.19
75,7740,5,2022-11-18,,32308.27
76,4414,5,2025-02-03,,8773.6
77,8015,4,2025-04-05,,11119.0
78,9965,1,2021-10-26,,16998.65
79,2087,5,2022-11-17,,18803.78
80,5702,2,2023-06-07,,20635.79
81,3866,2,2023-07-31,,31829.88
82,8699,3,2025-11-24,,4098.06
83,329,3,2022-01-18,,3113.52
84,9907,2,2025-06-14,,5059.82
85,8414,2,2022-11-23,,3792.03
86,3888,1,2024-12-05,,17972.84
